Nom,Commune,X,Y,Distance
ABOUDOU BOURAIMA LEADI,Borgo,9.499145,42.595708,12399.33
ALAIN LARDEAUX,Ghisonaccia,9.408654,42.019512,13243.89
ALAIN MURIE,Bastia,9.439535,42.671974,9013.07
ALAIN PLAULT,Propriano,8.916084,41.669397,5755.77
ALAIN RIERA,Ajaccio,8.72537,41.912983,11240.82
ALEXANDRA BURESI LEONETTI,Ajaccio,8.755796,41.939258,11241.95
ALEXANDRA LUDDENI,Furiani,9.437003,42.656514,11934.96
ALEXANDRE HENNEQUIN,Sarrola-Carcopino,8.833974,41.979592,5052.42
ALEXANDRE MARTINETTI,Ventiseri,9.390048,41.927566,2791.08
ALEXANDRE MATTEI,Bastia,9.428744,42.672293,9012.19
AMANDINE DE CARMEJANE VELLOZZI,Lucciana,9.453876,42.55039,5198.44
AMMAR TALEB,Prunelli-di-Fiumorbo,9.403285,41.9976,14165.8
ANDRE GIRERD,Calcatoggio,8.749335,42.05064,15612.13
ANDRE ROCCHI,Prunelli-di-Fiumorbo,9.400998,41.99848,14165.98
ANGE PIANI,Afa,8.780564,42.002425,14864.35
ANGELIQUE ZECCHI CABANES,Porto-Vecchio,9.279014,41.590462,7781.15
ANGHJULINA ALLEGRINI,Furiani,9.437003,42.656514,11934.96
ANNIE POUMEROL,Brando,9.473356,42.775045,16974.62
ANNIE VALLECALLE,Calvi,8.762374,42.548038,7055.47
ANTHONY GRAZIANI,Olmeta-di-Tuda,9.35597,42.600527,14834.83
ANTOINE BURESI,Sarrola-Carcopino,8.786877,41.951519,5051.6
ANTOINE DOLOVICI,Bastia,9.442327,42.699007,9012.68
ANTOINE GRISONI,Sari-Solenzara,9.398995,41.855845,5267.85
ANTOINE JOSEPH TOLLA,Ajaccio,8.719281,41.909807,11240.5
ANTOINE PETRONI,Penta-di-Casinca,9.506865,42.442571,12929.89
ARNAUD FICO,Furiani,9.437003,42.656514,11934.96
ARNAUD MALLARONI,Porto-Vecchio,9.279154,41.591171,7781.07
AUGUSTIN VALLET,Bastelicaccia,8.824045,41.923977,14167.54
AUGUSTIN VALLET,Eccica-Suarella,8.858693,41.916012,7567.98
AURELIE LUNARDI,Ajaccio,8.74238,41.934262,11241.16
AURELIEN GALLIOU,Ajaccio,8.660343,41.907791,11236.13
AURELIEN NEGRONI,Vescovato,9.463689,42.498798,9740.59
BAPTISTE CALAIS,San-Nicolao,9.521382,42.376628,17353.07
BASTIEN MONDET,Porto-Vecchio,9.279154,41.591171,7781.07
BENJAMIN ACQUAVIVA,Ajaccio,8.720102,41.912166,11240.46
BERNARD CORNEILLE,Sartène,8.972298,41.620672,4369.96
BERNARD DULAT,Sartène,8.972976,41.62075,4370.01
BERNARD SEMIDEI,Bastia,9.441628,42.673911,9013.19
BERTRAND RENE SIMONET,Ajaccio,8.753146,41.937047,11241.85
BRUNO PASSONI,Penta-di-Casinca,9.518247,42.445296,12930.71
CAROLINE DARNAUD VECCHIETTI,Furiani,9.437773,42.647687,11934.0
CATHERINE MARTELLI,Ajaccio,8.737728,41.935684,11240.74
CATHERINE MARTELLI,Pastricciola,8.982934,42.136252,12538.4
CECILIA COSTA,Ajaccio,8.677897,41.907867,11237.45
CHANTAL LUCIANI,Porto-Vecchio,9.277632,41.590871,7781.08
CHARLES HENRI BALDOVINI,San-Gavino-di-Carbini,9.143892,41.709532,14167.15
CHARLES SOLINAS,Bastia,9.428744,42.672293,9012.19
CHARLES TADDEI,L'Île-Rousse,8.943994,42.632163,12871.73
CHARLES VIALE,Bastia,9.444485,42.681026,9013.26
CHIARA BIANCAMARIA,Ajaccio,8.738974,41.933693,11240.93
CHRISTIAN CALENDINI,Penta-di-Casinca,9.505674,42.451789,12930.63
CHRISTIAN MEDORI,Bastia,9.450604,42.697485,9013.37
CHRISTOPHE BEZIER,Propriano,8.902132,41.674144,5755.08
CHRISTOPHE FERRANDI,L'Île-Rousse,8.930975,42.629623,12872.43
CLAIRE BEAUVOIS,Pianottoli-Caldarello,9.055808,41.490887,8061.46
